State,County,Number of Hospitals,Percent private or nonprofit,number of acute care hospitals,avg acute care rating,median acute care rating
MO,SALINE,2,50,1,3.0,3.0
IN,HOWARD,2,50,2,3.5,3.5
MO,COLE,2,50,2,4.0,4.0
PA,CAMBRIA,2,0,2,3.0,3.0
LA,LA SALLE,2,0,1,3.0,3.0
IL,JACKSON,2,100,1,2.5,2.5
WA,ADAMS,2,0,0,nan,nan
NE,CUSTER,2,50,0,3.0,3.0
KS,LABETTE,2,0,1,5.0,5.0
MT,CASCADE,2,50,2,3.5,3.5
PR,CAGUAS,2,50,2,2.0,2.0
MN,CARLTON,2,50,0,4.0,4.0
TN,CARROLL,2,50,2,3.5,3.5
CA,YOLO,2,50,2,3.0,3.0
ND,CASS,2,100,2,3.5,3.5
OK,GARFIELD,2,50,2,4.5,4.5
MN,POLK,2,100,0,3.0,3.0
MN,BELTRAMI,2,50,2,3.0,3.0
NC,SURRY,2,50,2,3.5,3.5
LA,ASCENSION,2,50,1,4.0,4.0
OK,KAY,2,50,2,3.0,3.0
UT,BOX ELDER,2,50,2,4.0,4.0
LA,EVANGELINE,2,0,2,4.5,4.5
IN,MONROE,2,50,2,4.0,4.0
VA,PRINCE WILLIAM,2,100,2,2.5,2.5
TX,BURNET,2,100,1,3.5,3.5
SC,GEORGETOWN,2,100,2,3.5,3.5
NC,SWAIN,2,50,1,4.0,4.0
NE,HOLT,2,50,0,3.0,3.0
IL,SALINE,2,50,1,2.0,2.0
TN,COFFEE,2,0,2,2.5,2.5
KS,DICKINSON,2,0,0,nan,nan
SC,LEXINGTON,2,50,2,4.5,4.5
PA,CARBON,2,50,2,3.0,3.0
TX,WOOD,2,100,0,4.0,4.0
NJ,ATLANTIC,2,50,2,4.0,4.0
CA,NEVADA,2,0,1,3.5,3.5
OH,HURON,2,50,1,4.5,4.5
ND,WARD,2,100,1,2.0,2.0
ME,SOMERSET,2,50,0,4.0,4.0
IA,CLINTON,2,100,1,4.0,4.0
TX,UPTON,2,0,0,nan,nan
OK,LATIMER,2,0,2,4.0,4.0
